"മറ്റുള്ളവരെ കുറിച്ചു ചിന്തിക്കുന്നത്‌ മറ്റൊരു വിധത്തിലും പ്രയോജനം ചെയ്യും.","Thinking of others can be beneficial in another way."
"ഓസ്ട്രേലിയൻ സർവീസ് ടീമിനെതിരെ ബാറ്റ് ചെയ്ത ബ്രാഡ്മാൻ വെറും രണ്ട് മണിക്കൂറിനുള്ളിൽ 112 റൺസായിരുന്നു നേടിയത് സർവീസിന്റെ കളിക്കാരനായിരുന്ന ഡിക്ക് വൈറ്റിംഗ്ടൺ പിന്നീട് ഇങ്ങനെ എഴുതി. ","Bradman scored 112 runs in just two hours against the Australian Services team, Dick Whittington, a Services player, later wrote. "
"പുറത്ത്‌ മഞ്ഞുമഴ.","It&#39;s snowing outside."
"അതിന് ശേഷം ഇലക്ട്രിക് ബസ്.","After that the electric bus."
"മലയാളം, കന്നഡ, തമിഴ് തുടങ്ങിയ ഭാഷകളിൽ ശ്രദ്ധേയമായ വേഷങ്ങളാണ് താരം അവതരിപ്പിച്ചിരിക്കുന്നത്.","The actor has played notable roles in languages ​​like Malayalam, Kannada and Tamil."
"ഇക്കാര്യം അംഗീകരിച്ചു കൊണ്ടായിരുന്നു യോഗം പിരിഞ്ഞത്.","The meeting ended by agreeing to this."
"$ ദാമോദരം സഞ്ജീവയ്യ നാഷണല്‍ ലോ യൂണിവേഴ്‌സിറ്റി, വിശാഖപട്ടണം","$ Damodaram Sanjeevaiah National Law University, Visakhapatnam"
"നാൽപ്പതു വർഷത്തിനു ശേഷം, ഇസ്രായേല്യർ വാഗ്‌ദത്തദേശത്തു പ്രവേശിക്കുന്നതിനു തൊട്ടുമുമ്പ്, മോശെയുടെ പിൻഗാമിയായ യോശുവ ദേശം ഒറ്റുനോക്കാൻ രണ്ടു പുരുഷന്മാരെ അയച്ചു.","Forty years later, just before the Israelites entered the Promised Land, Moses&#39; successor Joshua sent two men to spy out the land."
"ഇതിനുള്ള ഒരുക്കങ്ങള്‍ ആരംഭിച്ചുകഴിഞ്ഞു.","Preparations for this have already started."
"അന്‍പതടി താഴ്ചയിലേക്കാണ് ബസ് മറിഞ്ഞത്.","The bus fell to a depth of fifty feet."
"അത് കാത്തിരുന്നുതന്നെ കാണേണ്ട ഒന്നാണ്.","It is something to wait and see."
"ഇത്തവണ ഭാരത സംസ്കാരത്തിനോട് ചേര്‍ന്ന ചുവന്ന തുണിയില്‍ പൊതിഞ്ഞാണ് ബജറ്റ് രേഖകളുമായി നിര്‍മലാ സീതാരാമന്‍ പാര്‍ലമന്‍റിലെത്തിയത്.","This time, Nirmala Sitharaman came to the Parliament with the budget documents wrapped in a red cloth which is close to the Indian culture."
"ഹന്ന സന്തോഷത്തോടെ സമ്മതിച്ചു.","Hannah happily agreed."
"അതിനപ്പുറം പ്ലാനുകൾ ഒന്നുമായിട്ടില്ല.","Beyond that, there are no plans."
"ചിത്രകാരന്‍ അങ്ങിനെത്തന്നെയാണ് ആഗ്രഹിച്ചത്‌?","Is that what the painter wanted?"
"എന്‍ആര്‍സി നടപ്പിലാക്കില്ലെന്ന പ്രധാനമന്ത്രി നരേന്ദ്രമോദിയുടെ പ്രസ്താവനയെയും അദ്ദേഹം ചൂണ്ടിക്കാണിക്കുന്നു.","He also points to Prime Minister Narendra Modi&#39;s statement that NRC will not be implemented."
"ഈ ദീപാവലി, നമുക്ക് സ്ത്രീത്വത്തിന്റെ ആഘോഷമാക്കി മാറ്റാം'- എന്നും സിന്ധു കുറിച്ചു.","Let&#39;s make this Diwali a celebration of womanhood,&#39; Sindhu added."
"കവിതാസമാഹാരം പ്രകാശനംചെയ്തു","A collection of poems was published"
"സത്ബീര്‍ സിംഗ്, ഹര്‍മന്‍പ്രീത് സിംഗ്, ലളിത് ഉപാധ്യയ്, ഗുര്‍ജന്ത് സിംഗ് എന്നിവരാണ് ഇന്ത്യയ്ക്കായി ഗോളുകള്‍ നേടിയത്.","Satbir Singh, Harmanpreet Singh, Lalit Upadhyay and Gurjant Singh scored the goals for India."
"പക്ഷേ, പിശാചായ സാത്താൻ ആദാമിനെയും ഹവ്വായെയും മത്സരത്തിലേക്കു നയിച്ചു.","But Satan the devil led Adam and Eve into rebellion."
"64-ന്റെ ചെറുപ്പം","The youth of 64"
"നിങ്ങള്ക്ക് വേണ്ടേ?","don&#39;t you want"
"പുതിയ പദ്ധതികള്‍ പ്രവര്‍ത്തികമാക്കും.","New projects will be implemented."
"എന്നാൽ ഈ ഉപകരണത്തിന്റെ കൂടുതൽ പ്രത്യേകതകൾ ഉണ്ട്.","But there are more features of this device."
"അവളുടെ നാവു പുറത്തേക്ക് തുറിച്ചിരിക്കുന്നു.","Her tongue is sticking out."
"ദുരൂഹമായ പല കാര്യങ്ങളും ഈ അന്വേഷണത്തില്‍ പൊലീസ് കണ്ടെത്തി.","The police found many mysterious things in this investigation."
"ഹിമേഷ് രേഷ്മാനിയ ആയിരുന്നു സിനിമയ്ക്കു വേണ്ടി സംഗീതം ചെയ്തിരുന്നത്.","Himesh Reshmania composed the music for the film."
"വീഡിയോയുെ സോഷ്യൽ മീഡിയയിൽ വൈറലാണ്.","The video has gone viral on social media."
"പ്രധാനമന്ത്രിയുടെ ഓഫീസ്‌ ബംഗ്ലാദേശ് പ്രധാനമന്ത്രി ഷെയ്ഖ്ഹസീന പ്രധാനമന്ത്രി മോദിയോടുസംസാരിച്ചു, 2019 പൊതുതെരഞ്ഞെടുപ്പിലെ ജനഹിതത്തിന് അഭിനന്ദനങ്ങള്‍ അറിയിച്ചു പ്രധാനമന്ത്രി ശ്രീ.","Prime Minister&#39;s Office Bangladesh Prime Minister Sheikh Hasina spoke to Prime Minister Modi and congratulated the people for their vote in the 2019 General Election Prime Minister Shri."
"ഞാൻ : അപ്പോഴാ എന്ത്…?","Me: Then what...?"
"കൊറിയന്‍ ചിത്രമായ 'ആന്‍ ഓഡ് ടു മൈ ഫാദറി'ന്റെ റീമേക്കാണ് ഭാരത്.","Bharat is a remake of the Korean film &#39;An Ode to My Father&#39;."
"ഇതാണ് ഉരുണ്ടുകളിക്ക് കാരണം.","This is the reason for the round game."
"ഒരുമാസത്തിനിടെ…","In a month..."
"പ്രതിഷേധത്തിന് സംസ്ഥാന കോണ്‍ഗ്രസ് കമ്മിറ്റി വൈസ് പ്രസിഡന്റ് ബിരേന്ദ്ര ചൗധരി, ജില്ലാ പ്രസിഡന്റ് വിപിന്‍ പാല്‍ എന്നിവരാണ് നേതൃത്വം നല്‍കിയത്.","State Congress Committee Vice President Birendra Chaudhary and District President Vipin Pal led the protest."
"ചിലപ്പോഴൊക്കെ അതു ഭയപ്പെടുത്തുന്നതായിരുന്നു, പ്രത്യേകിച്ച് പഴയ ഒരു പാലത്തിലൂടെ തൊട്ടു തൊട്ടില്ല എന്ന മട്ടിൽ എതിർദിശയിൽ ബസ്സുകൾ പാഞ്ഞുപോകുമ്പോൾ.","It was scary at times, especially when buses hurtled across an old bridge in the opposite direction."
"ഹരിയാനയിൽ കോൺഗ്രസ് പ്രതിസന്ധിയിൽ","Congress in crisis in Haryana"
"ന്യൂസിലാന്റാവട്ടെ 122 ാം സ്ഥാനത്തും.","New Zealand is at 122nd position."
"യഹോവയാം ദൈവത്തോടു മാത്രം പ്രാർഥിക്കുന്നതാണ്‌ ഉചിതം.","It is proper to pray only to Jehovah God."
"സ്റ്റാര്‍ട്ടപ്പ് തുടങ്ങാന്‍ മോഹമുണ്ടോ?","Interested in starting a startup?"
"സംവിധായകന്‍ ലിജോ ജോസ് പല്ലിശ്ശേരി അഭിനയരംഗത്തേക്ക്.","Director Lijo Jose Pallissery to the acting field."
"ഒരുസമയം അഞ്ചു പേരേ മാത്രമേ കടകളില്‍ അനുവദിക്കൂ.","Only five people are allowed in the shops at a time."
"ഇയാള്‍ക്കെതിരെ പോലീസ് കൊലപാതകശ്രമത്തിന് കേസെടുത്തു.","The police registered a case of attempted murder against him."
"പെട്ടി സൂക്ഷിക്കണം.","Keep the box."
"ഹൈദരാബാദ്‌: ഹെലികോപ്‌റ്റര്‍ അപകടത്തില്‍ മുഖ്യമന്ത്രി രാജശേഖര റെഡ്ഡി മരിച്ചുവെന്ന്‌ സ്ഥിരീകരിക്കപ്പെട്ടതിനെത്തുടര്‍ന്ന്‌ അദ്ദേഹത്തിന്റെ രണ്ട്‌ ആരാധകര്‍ ആത്മഹത്യ ചെയ്‌തു","HYDERABAD: Two fans of Chief Minister Rajasekhara Reddy committed suicide after it was confirmed that he had died in a helicopter crash."
"അവർക്ക് എന്നോട് വല്ലാത്ത അടുപ്പമാണ്.","They are very close to me."
"180 റണ്‍സിനായിരുന്നു പാക്കിസ്ഥാന്‍റെ തകര്‍പ്പന്‍ ജയം.","Pakistan won by 180 runs."
"ഉരുക്കാതെതന്നെ ഇരുമ്പിനെ ഉയർന്ന താപനിലയിൽ ചൂടാക്കിയശേഷം തണുപ്പിക്കുമ്പോൾ അതിന്‍റെ പരലുകൾക്കുള്ളിൽ സംഭവിക്കുന്നത്‌ അതാണ്‌.","That is what happens inside the crystals of iron when it is heated to a high temperature without melting and then cooled."
"വര്‍ഗീയ കലാപം സൃഷ്ടിക്കാന്‍ ലക്ഷ്യമിട്ടാണ്‌ ബിജെപി നേതാക്കള്‍ വീഡിയോയും ചിത്രങ്ങളും സമൂഹ മാധ്യമങ്ങളില്‍ പ്രചരിപ്പിക്കുന്നതെന്ന് ബംഗാള്‍ മുഖ്യമന്ത്രി മമതാ ബാനര്‍ജി ആരോപിച്ചു.","Bengal Chief Minister Mamata Banerjee has accused BJP leaders of spreading videos and pictures on social media with the aim of creating communal riots."
"തിരുവനന്തപുരം: ആരോഗ്യമന്ത്രി കെ കെ ശൈലജ ഇനി വിസിറ്റിങ് പ്രൊഫസര്‍.","Thiruvananthapuram: Health Minister KK Shailaja is now a visiting professor."
"അപകടം നടന്ന ഉടനെ നാട്ടുകാർ ചേർന്ന് കുഴിയടയ്ക്കുകയും ചെയ്തു.","As soon as the accident happened, the locals joined together and dug the hole."
"പ്രതിഷേധം അക്രമാസക്തമാവുകയും പ്രതിഷേധക്കാരെ പിരിച്ചുവിടാനായി പൊലീസ് റബര്‍ ബുള്ളറ്റും ടിയര്‍ ഗ്യാസും പ്രയോഗിക്കുകയും ചെയ്തിരുന്നു.","The protest turned violent and the police used rubber bullets and tear gas to disperse the protesters."
"ഇത് അധികം 55 പൗണ്ട് ഭാരം.","It weighs more than 55 pounds."
"കൊലപാതകം സംബന്ധിച്ച് അന്വേഷണം പുരോഗമിക്കുകയാണെന്ന് പൊലീസ് പറഞ്ഞു.","The police said that the investigation into the murder is in progress."
"ഇതിൽ അഞ്ചുപേരാണ് കൊല്ലപ്പെട്ടത്.","Five of them were killed."
"നിങ്ങള്‍ക്ക് സഞ്ചി നിറക്കാം വളരെ എളുപ്പമായി","You can fill the bag very easily"
"കാസ് തടാകത്തിനു തെക്കുഭാഗത്ത് 30 കിലോമീറ്റർ അകലെയായി കൊയ്നാ വന്യജീവി സങ്കേതം സ്ഥിതിചെയ്യുന്നു.","Koyna Wildlife Sanctuary is located 30 km south of Cass Lake."
"ക്യാപ്റ്റന്‍ ലോണ്ടാനോ, താങ്കളില്‍ ആജ്ഞാപിട്ടുളത് ഈ വിമതരുടെ രാജ്യദ്രോഹ കുറ്റത്തിനെതിരെ വാദിക്കാനാണ്.","Captain Londono, you are commanded to plead the charges of treason against these rebels."
"ഭൂരിപക്ഷം ആളുകള്‍ക്കും എന്നെ അറിയാം.","Most people know me."
"കര്‍ശനമായ വ്യവസ്ഥകളോട് കൂടി മരണാനന്തര ചടങ്ങുകള്‍ക്ക് 20 പേരും വിവാഹത്തിന് 50 പേര്‍ക്കും പങ്കെടുക്കാം.","20 people can attend for posthumous ceremonies and 50 people for weddings with strict conditions."
"നിങ്ങളുടെ ഭയം ഇല്ലാതാക്കുകയും വികാരങ്ങൾ നിയന്ത്രണത്തിലാക്കുകയും ചെയ്യുക.","Eliminate your fear and control your emotions."
"ആത്മഹത്യ കുറിപ്പുകളൊന്നും കണ്ടെത്തിയിട്ടില്ലെന്ന് പോലീസ് അറിയിച്ചു.","Police said that no suicide notes were found."
"ക്രിസ്തീയ യുഗാന്ത്യത്തേയും","and the Christian era"
"വില്ല്യംസ് മുഷ്ഫിഖുര് എന്നിവരെക്കൂടാതെ ഓസീസ് ബാറ്റ്സ്മാന് ഡാന് ക്രിസ്റ്റ്യന് സ്പിന്നര് ആദം സാംപ 21 കാരനായ ഇംഗ്ലീഷ് താരം വില് ജാക്ക്സ് എന്നിവരും ലിസ്റ്റില് ഇടം പിടിച്ചിട്ടുണ്ട്. ","Apart from Williams Mushfiqur, Aussie batsman Dan Christian, spinner Adam Sampa and 21-year-old English player Will Jacks have also been included in the list. "
"ആര്‍എസ്എസ് നല്‍കിയ അപകീര്‍ത്തി കേസില്‍ രാഹുല്‍ ഗാന്ധിക്ക് ജാമ്യം","Rahul Gandhi granted bail in RSS defamation case"
"സ്വര്‍ണരേഖ നദി 320 അടി മുകളില്‍ നിന്നാണ്‌ ഇവിടെ പതിക്കുന്നത്‌","The Swarnarekha river falls here from a height of 320 feet"
"തമിഴിൽ ‘പാപനാശം’ എന്ന പേരിലും ഹിന്ദിയിലും തെലുങ്കിലും ‘ദൃശ്യം’ എന്ന പേരിലും ചിത്രം റിമേക്ക് ചെയ്യപ്പെട്ടു.","The film was remade in Tamil as &#39;Papanasham&#39; and in Hindi and Telugu as &#39;Drisham&#39;."
"ക്രിസ്‌ത്യാനികൾക്കിടയിലെ ഐക്യം ഒരു അത്ഭുതമായി തോന്നിയിരിക്കാവുന്നത്‌ എന്തുകൊണ്ട്?","Why might unity among Christians seem a miracle?"
"ചിന്ദിക്കുമ്പോൾ ചെയ്തത് ശരിയല്ലെങ്കിലും വികാരങ്ങൾ അവർക്കുമുണ്ടാവില്ലേ. ","Do they not have feelings even if what they did was wrong when they were thinking? "
"തുടർന്നുണ്ടായ തർക്കം കൊലപാതകത്തിൽ കലാശിക്കുകയായിരുന്നു.","The ensuing argument resulted in the murder."
"നമുക്കെന്തന്കിലും കുടിക്കാം","We can drink anything"
"ബിഹാർ, ജാർഖണ്ഡ്, മധ്യപ്രദേശ്, രാജസ്ഥാൻ, ഉത്തർപ്രദേശ്, ബംഗാള്‍, ജമ്മു കശ്മീർ എന്നീ സംസ്ഥാനങ്ങളിലാണ് വോട്ടെടുപ്പ് നടക്കുക.","Polling will be held in the states of Bihar, Jharkhand, Madhya Pradesh, Rajasthan, Uttar Pradesh, Bengal and Jammu and Kashmir."
"ഇസ്താംബുള്ളിലെ വിമാനത്താവളത്തിലാണ് സംഭവം.","The incident took place at the airport in Istanbul."
"വണ്ണം വയ്ക്കുന്ന ശരീരമല്ല എന്റേത്.","Mine is not a weight gainer body."
"ഇതുവരെയായി","So far"
"വളരെ വലിയ ഉണ്ടക്കണ്ണുകള്‍.","Very large eyes."
"പത്ത് പേർക്ക് സാരമായി പരിക്കേറ്റിട്ടുണ്ടെന്നാണ് റിപ്പോര്‍ട്ട്.","It is reported that 10 people have been seriously injured."
"സിബിഐ എഫ്‌ഐആർ റദ്ദാക്കണമെന്ന വിവിധ ഹർജികളിൽ കോടതി .","Court on various petitions to quash CBI FIR."
"മൊഴിയുടെ അടിസ്ഥാനത്തിലാണ് .","Based on the statement."
"“പരസ്പരം സഹായിക്കുക.","“Help each other."
"എനിക്കിത് മതിയായി, കാം..","I&#39;ve had enough, Cam.."
"എഴുത്തുപരീക്ഷ, അഭിമുഖം എന്നിവ സംബന്ധിച്ച് എഴുത്തുകുത്തുകളൊന്നും ഉണ്ടാകില്ല.","There will be no written test and interview."
"1958ല് വിപണിപ്രവേശം നടത്തിയ ഈ കമ്പനി 2018ടെ വിപണിവിഹിതം നിര്ണായകമായി ഉയര്ത്തുമെന്ന് 53 ശതമാനം പേര് അഭിപ്രായപ്പെടുന്നു","53 percent of people think that this company, which entered the market in 1958, will significantly increase its market share in 2018."
"ആ സിനിമയുടെ ഷൂട്ട് കൊറോണ മൂലം നിര്‍ത്തി വച്ചിരിക്കുകയാണ്.","The shooting of that film has been stopped due to Corona."
"അതവളുടെ അടുത്തു നിന്ന് എടുത്തു മാറ്റൂ.","Take it away from her."
"പരിപാടിയുടെ വീഡിയോ താഴെ കൊടുത്തിരിക്കുന്നു.","The video of the event is below."
"എന്നാല്‍ ഞാന്‍ അവന്റെ കൂടെ വിട്ടത് പോലുമല്ല.","But I didn&#39;t even leave him."
"എനിക്ക് ഇത് സംബന്ധിച്ച്‌ മറയ്ക്കാനൊന്നൂമില്ല.","I have nothing to hide about this."
"എന്തിനാണ് ഇത്തരമൊരു നീക്കം.","Why such a move?"
"ഒരു ബൗളർ എറിഞ്ഞ പന്ത് ബാറ്റ്സ്മാന് അടിച്ചകറ്റാനോ, പ്രതിരോധിക്കാനോ കഴിയാതെ പിന്നിലെ വിക്കറ്റ് തകർത്താൽ ആ ബാറ്റ്സ്മാൻ ബൗൾഡ് ആയി പുറത്താകുന്നു.","If the ball thrown by a bowler breaks the back wicket without the batsman being able to hit or defend, that batsman is bowled out."
"തിരുവനന്തപു‌രം മജിസ്ട്രേറ്റ് കോടതിയിൽ സംർപ്പിച്ച റിപ്പോർട്ടിലാണ് ഇക്കാര്യങ്ങളുള്ളത്.","These matters are contained in the report submitted to the Thiruvananthapuram Magistrate Court."
"മെഗാന് ചിത്രകാരിയാകാനായിരുന്നു ആഗ്രഹം.","Megan wanted to be a painter."
"ഈ വാദമാണ് കേന്ദ്ര സർക്കാരും അംഗീകരിച്ചിരിക്കുന്നത്.","This argument has also been accepted by the central government."
"പിന്നീട് പിതാവും പോലിസ് കസ്റ്റഡിയിലാണ്.","Later the father is also in police custody."
"ഇതിന് പുറമെ, സംസ്ഥാന തെരഞ്ഞെടുപ്പ് കമ്മീഷന്് കീഴില്‍ നടക്കുന്ന പഞ്ചായത്ത്, മുന്‍സിപ്പല്‍ കോര്‍പറേഷന്‍ മറ്റു സ്വതന്ത്രാധികാര കൗണ്‍സിലുകളിലേക്കുള്ള തെരഞ്ഞെടുപ്പിലെ സ്ഥാനാര്‍ഥികള്‍ക്കും ഇത് ബാധകമാക്കും”-ശര്‍മ പറഞ്ഞു.","Apart from this, it will also be applied to the candidates for the Panchayat, Municipal Corporation and other independent council elections held under the State Election Commission,&quot; Sharma said."
"ഒന്നാമത് യുക്തിപരമായി തോന്നുന്നു.","The first seems logical."
"ഉടൻ തന്നെ ക്ഷമാപണത്തോടെ അവൾ‌ ഫോൺവച്ചു.","She called immediately with an apology."
"വൃക്കയിലെ കല്ല് ഭേദമാക്കാനും ഇത് സഹായിക്കും.","It also helps in curing kidney stones."
"വ്യാപാര സ്ഥാപനങ്ങളും സമുച്ഛയങ്ങളും മാളുകളും പൊന്തിവന്നു.","Business establishments, complexes and malls sprung up."
"ഇത് വളരെ ഏറെ ചിന്തിക്കേണ്ടിയിരിക്കുന്ന വിഷയമാണ്.","This is a matter of much thought."
"മാര്‍ച്ച് നാലിനാണ് ആദ്യ മത്സരം","The first match is on March 4"
