"മറ്റുള്ളവരെ കുറിച്ചു ചിന്തിക്കുന്നത്‌ മറ്റൊരു വിധത്തിലും പ്രയോജനം ചെയ്യും.","Thinking of others can be beneficial in another way.","1"
"പുറത്ത്‌ മഞ്ഞുമഴ.","It&#39;s snowing outside.","1"
"അതിന് ശേഷം ഇലക്ട്രിക് ബസ്.","After that the electric bus.","1"
"നാൽപ്പതു വർഷത്തിനു ശേഷം, ഇസ്രായേല്യർ വാഗ്‌ദത്തദേശത്തു പ്രവേശിക്കുന്നതിനു തൊട്ടുമുമ്പ്, മോശെയുടെ പിൻഗാമിയായ യോശുവ ദേശം ഒറ്റുനോക്കാൻ രണ്ടു പുരുഷന്മാരെ അയച്ചു.","Forty years later, just before the Israelites entered the Promised Land, Moses&#39; successor Joshua sent two men to spy out the land.","1"
"അന്‍പതടി താഴ്ചയിലേക്കാണ് ബസ് മറിഞ്ഞത്.","The bus fell to a depth of fifty feet.","1"
"അത് കാത്തിരുന്നുതന്നെ കാണേണ്ട ഒന്നാണ്.","It is something to wait and see.","1"
"അതിനപ്പുറം പ്ലാനുകൾ ഒന്നുമായിട്ടില്ല.","Beyond that, there are no plans.","1"
"ഈ ദീപാവലി, നമുക്ക് സ്ത്രീത്വത്തിന്റെ ആഘോഷമാക്കി മാറ്റാം'- എന്നും സിന്ധു കുറിച്ചു.","Let&#39;s make this Diwali a celebration of womanhood,&#39; Sindhu added.","1"
"നിങ്ങള്ക്ക് വേണ്ടേ?","don&#39;t you want","1"
"അവളുടെ നാവു പുറത്തേക്ക് തുറിച്ചിരിക്കുന്നു.","Her tongue is sticking out.","1"
"ദുരൂഹമായ പല കാര്യങ്ങളും ഈ അന്വേഷണത്തില്‍ പൊലീസ് കണ്ടെത്തി.","The police found many mysterious things in this investigation.","1"
"വീഡിയോയുെ സോഷ്യൽ മീഡിയയിൽ വൈറലാണ്.","The video has gone viral on social media.","0"
"ഒരുമാസത്തിനിടെ…","In a month...","1"
"സ്റ്റാര്‍ട്ടപ്പ് തുടങ്ങാന്‍ മോഹമുണ്ടോ?","Interested in starting a startup?","1"
"സംവിധായകന്‍ ലിജോ ജോസ് പല്ലിശ്ശേരി അഭിനയരംഗത്തേക്ക്.","Director Lijo Jose Pallissery to the acting field.","1"
"ഹൈദരാബാദ്‌: ഹെലികോപ്‌റ്റര്‍ അപകടത്തില്‍ മുഖ്യമന്ത്രി രാജശേഖര റെഡ്ഡി മരിച്ചുവെന്ന്‌ സ്ഥിരീകരിക്കപ്പെട്ടതിനെത്തുടര്‍ന്ന്‌ അദ്ദേഹത്തിന്റെ രണ്ട്‌ ആരാധകര്‍ ആത്മഹത്യ ചെയ്‌തു","HYDERABAD: Two fans of Chief Minister Rajasekhara Reddy committed suicide after it was confirmed that he had died in a helicopter crash.","1"
"180 റണ്‍സിനായിരുന്നു പാക്കിസ്ഥാന്‍റെ തകര്‍പ്പന്‍ ജയം.","Pakistan won by 180 runs.","0"
"വര്‍ഗീയ കലാപം സൃഷ്ടിക്കാന്‍ ലക്ഷ്യമിട്ടാണ്‌ ബിജെപി നേതാക്കള്‍ വീഡിയോയും ചിത്രങ്ങളും സമൂഹ മാധ്യമങ്ങളില്‍ പ്രചരിപ്പിക്കുന്നതെന്ന് ബംഗാള്‍ മുഖ്യമന്ത്രി മമതാ ബാനര്‍ജി ആരോപിച്ചു.","Bengal Chief Minister Mamata Banerjee has accused BJP leaders of spreading videos and pictures on social media with the aim of creating communal riots.","1"
"തിരുവനന്തപുരം: ആരോഗ്യമന്ത്രി കെ കെ ശൈലജ ഇനി വിസിറ്റിങ് പ്രൊഫസര്‍.","Thiruvananthapuram: Health Minister KK Shailaja is now a visiting professor.","1"
"കാസ് തടാകത്തിനു തെക്കുഭാഗത്ത് 30 കിലോമീറ്റർ അകലെയായി കൊയ്നാ വന്യജീവി സങ്കേതം സ്ഥിതിചെയ്യുന്നു.","Koyna Wildlife Sanctuary is located 30 km south of Cass Lake.","1"
"ക്രിസ്തീയ യുഗാന്ത്യത്തേയും","and the Christian era","1"
"തമിഴിൽ ‘പാപനാശം’ എന്ന പേരിലും ഹിന്ദിയിലും തെലുങ്കിലും ‘ദൃശ്യം’ എന്ന പേരിലും ചിത്രം റിമേക്ക് ചെയ്യപ്പെട്ടു.","The film was remade in Tamil as &#39;Papanasham&#39; and in Hindi and Telugu as &#39;Drisham&#39;.","1"
"ചിന്ദിക്കുമ്പോൾ ചെയ്തത് ശരിയല്ലെങ്കിലും വികാരങ്ങൾ അവർക്കുമുണ്ടാവില്ലേ. ","Do they not have feelings even if what they did was wrong when they were thinking? ","1"
"നമുക്കെന്തന്കിലും കുടിക്കാം","We can drink anything","0"
"ബിഹാർ, ജാർഖണ്ഡ്, മധ്യപ്രദേശ്, രാജസ്ഥാൻ, ഉത്തർപ്രദേശ്, ബംഗാള്‍, ജമ്മു കശ്മീർ എന്നീ സംസ്ഥാനങ്ങളിലാണ് വോട്ടെടുപ്പ് നടക്കുക.","Polling will be held in the states of Bihar, Jharkhand, Madhya Pradesh, Rajasthan, Uttar Pradesh, Bengal and Jammu and Kashmir.","1"
"വണ്ണം വയ്ക്കുന്ന ശരീരമല്ല എന്റേത്.","Mine is not a weight gainer body.","1"
"ഇതുവരെയായി","So far","1"
"വളരെ വലിയ ഉണ്ടക്കണ്ണുകള്‍.","Very large eyes.","1"
"എഴുത്തുപരീക്ഷ, അഭിമുഖം എന്നിവ സംബന്ധിച്ച് എഴുത്തുകുത്തുകളൊന്നും ഉണ്ടാകില്ല.","There will be no written test and interview.","1"
"പരിപാടിയുടെ വീഡിയോ താഴെ കൊടുത്തിരിക്കുന്നു.","The video of the event is below.","1"
"എന്നാല്‍ ഞാന്‍ അവന്റെ കൂടെ വിട്ടത് പോലുമല്ല.","But I didn&#39;t even leave him.","0"
"എനിക്ക് ഇത് സംബന്ധിച്ച്‌ മറയ്ക്കാനൊന്നൂമില്ല.","I have nothing to hide about this.","1"
"എന്തിനാണ് ഇത്തരമൊരു നീക്കം.","Why such a move?","1"
"ഒരു ബൗളർ എറിഞ്ഞ പന്ത് ബാറ്റ്സ്മാന് അടിച്ചകറ്റാനോ, പ്രതിരോധിക്കാനോ കഴിയാതെ പിന്നിലെ വിക്കറ്റ് തകർത്താൽ ആ ബാറ്റ്സ്മാൻ ബൗൾഡ് ആയി പുറത്താകുന്നു.","If the ball thrown by a bowler breaks the back wicket without the batsman being able to hit or defend, that batsman is bowled out.","1"
"പിന്നീട് പിതാവും പോലിസ് കസ്റ്റഡിയിലാണ്.","Later the father is also in police custody.","1"
"ഉടൻ തന്നെ ക്ഷമാപണത്തോടെ അവൾ‌ ഫോൺവച്ചു.","She called immediately with an apology.","0"
"വൃക്കയിലെ കല്ല് ഭേദമാക്കാനും ഇത് സഹായിക്കും.","It also helps in curing kidney stones.","1"
"വ്യാപാര സ്ഥാപനങ്ങളും സമുച്ഛയങ്ങളും മാളുകളും പൊന്തിവന്നു.","Business establishments, complexes and malls sprung up.","1"
"ഇത് വളരെ ഏറെ ചിന്തിക്കേണ്ടിയിരിക്കുന്ന വിഷയമാണ്.","This is a matter of much thought.","1"
"മാര്‍ച്ച് നാലിനാണ് ആദ്യ മത്സരം","The first match is on March 4","1"
